!SPELLS.DAT - Spells data file - JW 960305 (Updated from PM 950220 - additions by Joseph Pettit)
!-----------------------------------------------------------------------------------------------
!Book-Pag Name                         Drain               Typ Dur Class
!-------- ---------------------------- ------------------- --- --- -----
!23456789012345678901234567890123456789012345678901234567890
!---------------------------------------------------------
#Combat spells/C
!---------------------------------------------------------
SR2-???   Death Touch                  [(F/2)-1]S          M   I   C
SR2-???   Fire Bolt                    [(F/2)+1]D          P   I   C
SR2-???   Fire Cloud                   [(F/2)+1]D          P   I   C
SR2-???   Fire Dart                    [(F/2)+1]M          P   I   C
SR2-???   Fire Missle                  [(F/2)+1]S          P   I   C
SR2-???   Fireball                     [(F/2)+3]D          P   I   C
SR2-???   Flame Arrows                 [(F/2)+1]D          P   I   C
SR2-???   Force Drain                  (F/2)S              M   I   C
SR2-???   Hellblast                    [(F/2)+6]D          P   I   C
SR2-???   Inferno                      [(F/2)-1]D          P   I   C
SR2-???   Mana Bolt                    (F/2)S              M   I   C
SR2-???   Mana Cloud                   (F/2)S              M   I   C
SR2-???   Mana Dart                    (F/2)L              M   I   C
SR2-???   Mana Missile                 (F/2)M              M   I   C
SR2-???   Manaball                     (F/2)S              P   I   C
SR2-???   Manablast                    (F/2)D              M   I   C
SR2-???   Power Bolt                   [(F/2)+1]S          P   I   C
SR2-???   Power Dart                   [(F/2)+1]L          P   I   C
SR2-???   Power Missile                [(F/2)+1]M          P   I   C
SR2-???   Powerball                    [(F/2)+1]S          P   I   C
SR2-???   Powerblast                   [(F/2)+1]D          P   I   C
SR2-???   Ram                          [(F/2)+1]S          P   I   C
SR2-???   Ram Touch                    [(F/2)-1]M          P   I   C
SR2-???   Redirect                     [special]           P   I   C
SR2-???   Rot                          [(F/2)+1]M          P   I   C
SR2-???   Shattershield                (F/2)S              M   I   C
SR2-???   Slay (Race/species)          [(F/2)-1]S          M   I   C
SR2-???   Sleep                        [(F/2)-1]S          M   I   C
SR2-???   Spirit Bolt                  [(F/2)-1]S          M   I   C
SR2-???   Sterilize                    [(F/2)+1]D          P   I   C
SR2-???   Stun Bolt                    [(F/2)-1]D          M   I   C
SR2-???   Stun Cloud                   [(F/2)-1]S          M   I   C
SR2-???   Stun Missile                 [(F/2)-1]M          M   I   C
SR2-???   Stun Touch                   [(F/2)-2]M          M   I   C
SR2-???   Stunball                     [(F/2)-1]D          M   I   C
