0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.750000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.875000	0.500000	0.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.937500	0.687500	0.312500	0.062500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.968750	0.812500	0.500000	0.187500	0.031250	0.000000	0.000000	0.000000	0.000000	0.000000	
0.984375	0.890625	0.656250	0.343750	0.109375	0.015625	0.000000	0.000000	0.000000	0.000000	
0.992188	0.937500	0.773438	0.500000	0.226562	0.062500	0.007812	0.000000	0.000000	0.000000	
0.996094	0.964844	0.855469	0.636719	0.363281	0.144531	0.035156	0.003906	0.000000	0.000000	
0.998047	0.980469	0.910156	0.746094	0.500000	0.253906	0.089844	0.019531	0.001953	0.000000	
0.999023	0.989258	0.945312	0.828125	0.623047	0.376953	0.171875	0.054688	0.010742	0.000977	
